,user,location,hourentry,hourexit,timediff
0,user_11,1,13,21,8
1,user_11,7,14,16,2
2,user_11,1,10,17,7
3,user_11,5,15,18,3
4,user_11,7,13,14,1
5,user_13,1,11,13,2
6,user_13,7,22,20,2
7,user_13,1,22,20,2
8,user_13,2,22,15,7
9,user_13,5,22,20,2
10,user_13,4,13,20,7
11,user_13,2,14,15,1
12,user_13,5,15,13,2
13,user_13,1,19,16,3
14,user_13,2,19,16,3
15,user_13,4,20,16,4
16,user_13,5,21,21,0
17,user_13,7,20,20,0
18,user_13,1,21,21,0
19,user_13,2,19,14,5
20,user_13,5,20,23,3
21,user_13,7,17,18,1
22,user_13,5,21,21,0
23,user_13,4,21,20,1
24,user_13,7,20,23,3
25,user_13,2,0,22,22
26,user_13,5,16,20,4
27,user_13,6,13,0,13
28,user_13,1,0,21,21
29,user_13,3,15,19,4
30,user_13,2,19,21,2
31,user_13,5,15,18,3
32,user_14,3,16,14,2
33,user_14,7,20,21,1
34,user_14,4,15,21,6
35,user_14,5,15,20,5
36,user_14,7,15,16,1
37,user_14,1,16,20,4
38,user_14,7,18,20,2
39,user_14,2,12,12,0
40,user_14,3,15,19,4
41,user_14,1,16,22,6
42,user_14,3,7,19,12
43,user_14,5,15,18,3
44,user_14,1,0,9,9
45,user_18,3,17,12,5
46,user_18,2,10,11,1
47,user_18,1,13,18,5
48,user_18,5,15,18,3
49,user_18,6,15,19,4
50,user_18,5,20,18,2
51,user_18,2,20,14,6
52,user_18,5,9,14,5
53,user_21,3,14,21,7
54,user_21,1,23,1,22
55,user_21,3,11,12,1
56,user_21,1,15,13,2
57,user_21,2,9,11,2
58,user_23,1,17,21,4
59,user_23,5,19,11,8
60,user_23,1,19,10,9
61,user_23,5,19,11,8
62,user_23,7,11,12,1
63,user_23,1,12,14,2
64,user_5,3,14,19,5
65,user_5,7,19,20,1
66,user_5,3,11,12,1
67,user_5,1,20,20,0
68,user_8,3,16,14,2
69,user_8,1,19,13,6
70,user_8,7,19,13,6
71,user_8,3,14,15,1
72,user_9,1,21,20,1
73,user_9,4,11,17,6
74,user_9,2,17,18,1
75,user_9,7,18,20,2
